iter	Passed	Remaining
0	15	7787
1	22	5668
2	24	4013
3	25	3117
4	25	2570
5	26	2217
6	27	1951
7	28	1757
8	29	1602
9	30	1475
10	31	1395
11	32	1309
12	33	1248
13	34	1188
14	35	1139
15	36	1102
16	37	1064
17	38	1034
18	39	1002
19	40	973
20	41	944
21	42	915
22	42	889
23	43	864
24	44	841
25	44	820
26	45	801
27	46	784
28	47	768
29	48	752
30	48	738
31	49	725
32	50	712
33	51	700
34	51	689
35	52	678
36	53	666
37	54	657
38	54	647
39	55	640
40	56	630
41	57	621
42	57	613
43	58	605
44	59	598
45	59	590
46	60	584
47	61	577
48	62	570
49	62	565
50	63	559
51	64	553
52	65	548
53	65	544
54	66	539
55	67	534
56	68	530
57	68	525
58	69	520
59	70	516
60	71	512
61	71	508
62	72	504
63	73	500
64	74	496
65	75	493
66	75	489
67	76	486
68	77	483
69	78	479
70	78	476
71	79	473
72	80	470
73	81	466
74	81	463
75	82	461
76	83	459
77	84	456
78	85	453
79	85	451
80	86	448
81	87	446
82	88	444
83	89	441
84	89	438
85	90	436
86	91	434
87	92	431
88	92	429
89	93	426
90	94	424
91	95	421
92	96	420
93	96	418
94	97	416
95	98	413
96	99	411
97	99	409
98	100	407
99	101	404
100	101	402
101	102	400
102	103	398
103	104	396
104	104	394
105	105	393
106	106	391
107	107	389
108	107	387
109	108	385
110	109	383
111	110	381
112	110	379
113	111	377
114	112	376
115	113	374
116	113	372
117	114	371
118	115	369
119	116	367
120	116	366
121	117	364
122	118	362
123	119	361
124	119	359
125	120	358
126	121	356
127	122	354
128	123	354
129	123	352
130	124	351
131	125	349
132	126	348
133	126	346
134	127	345
135	128	344
136	129	343
137	130	341
138	131	340
139	131	339
140	132	338
141	133	336
142	134	335
143	135	334
144	136	333
145	137	332
146	137	331
147	138	330
148	139	329
149	140	328
150	141	327
151	142	327
152	143	326
153	145	326
154	146	325
155	147	324
156	148	323
157	149	323
158	150	322
159	151	322
160	152	321
161	154	321
162	155	320
163	156	319
164	157	318
165	158	318
166	159	317
167	160	317
168	161	316
169	162	316
170	163	315
171	164	314
172	166	314
173	168	314
174	169	315
175	173	319
176	177	323
177	180	326
178	183	329
179	186	330
180	187	330
181	189	330
182	194	336
183	196	337
184	197	336
185	200	338
186	201	337
187	204	339
188	206	339
189	208	340
190	210	339
191	212	340
192	213	339
193	215	340
194	217	339
195	218	338
196	223	344
197	228	348
198	230	348
199	242	364
200	253	377
201	262	387
202	264	386
203	266	387
204	268	386
205	269	385
206	273	386
207	277	389
208	297	414
209	303	418
210	312	428
211	315	428
212	316	427
213	320	428
214	321	426
215	324	426
216	326	425
217	328	425
218	332	426
219	334	425
220	337	425
221	340	426
222	343	426
223	345	425
224	347	424
225	349	423
226	350	422
227	353	421
228	357	422
229	359	422
230	361	420
231	363	420
232	365	419
233	384	436
234	387	436
235	395	442
236	399	443
237	403	443
238	460	502
239	477	517
240	481	517
241	484	516
242	486	514
243	488	512
244	489	509
245	491	507
246	497	510
247	499	507
248	502	507
249	504	504
250	505	501
251	507	499
252	508	496
253	511	494
254	517	496
255	523	499
256	540	510
257	541	507
258	543	505
259	544	502
260	546	500
261	547	497
262	549	495
263	551	492
264	552	490
265	554	487
266	555	484
267	556	482
268	558	479
269	559	476
270	560	473
271	562	471
272	563	468
273	565	466
274	566	463
275	567	460
276	568	457
277	570	455
278	571	452
279	572	449
280	573	447
281	574	444
282	576	441
283	577	439
284	580	437
285	581	435
286	582	432
287	583	429
288	585	427
289	587	425
290	589	423
291	591	421
292	592	418
293	595	417
294	598	415
295	600	414
296	602	412
297	604	409
298	607	408
299	609	406
300	610	403
301	613	402
302	616	400
303	617	398
304	619	396
305	621	394
306	624	392
307	626	390
308	628	388
309	630	386
310	632	384
311	635	382
312	637	380
313	639	378
314	641	376
315	643	374
316	646	372
317	647	370
318	650	368
319	652	366
320	654	364
321	655	362
322	658	360
323	660	358
324	662	356
325	664	354
326	665	352
327	669	350
328	671	348
329	673	347
330	676	345
331	677	342
332	678	340
333	679	337
334	681	335
335	683	333
336	684	331
337	687	329
338	688	327
339	690	325
340	692	322
341	693	320
342	696	318
343	699	317
344	703	315
345	707	314
346	710	313
347	714	311
348	717	310
349	724	310
350	728	309
351	731	307
352	733	305
353	736	303
354	738	301
355	740	299
356	742	297
357	743	294
358	744	292
359	745	290
360	746	287
361	748	285
362	749	282
363	750	280
364	751	278
365	753	275
366	754	273
367	756	271
368	757	268
369	758	266
370	760	264
371	761	261
372	762	259
373	764	257
374	765	255
375	767	253
376	769	250
377	770	248
378	772	246
379	773	244
380	774	241
381	776	239
382	777	237
383	778	235
384	779	232
385	780	230
386	782	228
387	783	226
388	784	223
389	785	221
390	787	219
391	788	217
392	788	214
393	790	212
394	791	210
395	792	208
396	793	205
397	793	203
398	795	201
399	796	199
400	798	197
401	799	194
402	801	192
403	802	190
404	804	188
405	806	186
406	807	184
407	808	182
408	809	180
409	810	177
410	810	175
411	811	173
412	812	171
413	813	169
414	814	166
415	815	164
416	817	162
417	818	160
418	819	158
419	821	156
420	823	154
421	825	152
422	826	150
423	827	148
424	828	146
425	829	144
426	830	142
427	831	139
428	832	137
429	833	135
430	834	133
431	836	131
432	839	129
433	841	127
434	842	125
435	843	123
436	844	121
437	845	119
438	846	117
439	847	115
440	849	113
441	850	111
442	851	109
443	852	107
444	853	105
445	856	103
446	857	101
447	859	99
448	860	97
449	861	95
450	863	93
451	864	91
452	865	89
453	866	87
454	868	85
455	870	84
456	872	82
457	874	80
458	876	78
459	879	76
460	882	74
461	889	73
462	900	71
463	902	69
464	903	68
465	905	66
466	906	64
467	908	62
468	910	60
469	912	58
470	914	56
471	915	54
472	917	52
473	919	50
474	924	48
475	926	46
476	931	44
477	934	42
478	935	41
479	936	39
480	938	37
481	945	35
482	946	33
483	948	31
484	950	29
485	951	27
486	953	25
487	954	23
488	955	21
489	957	19
490	959	17
491	961	15
492	963	13
493	965	11
494	968	9
495	969	7
496	970	5
497	972	3
498	973	1
499	974	0
